u_group,U_code,U_description,icd_code,ICD_description
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G830,Diplegia of upper limbs
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8256,"Tetraplegia, unspecified, incomplete, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8254,"Tetraplegia, unspecified, complete, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8244,"Spastic tetraplegia, complete, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8240,"Spastic tetraplegia, unspecified"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8236,"Flaccid tetraplegia, incomplete, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8234,"Flaccid tetraplegia, complete, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8230,"Flaccid tetraplegia, unspecified"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8226,"Paraplegia, unspecified, incomplete, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8242,"Spastic tetraplegia, unspecified, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8250,"Tetraplegia, unspecified, unspecified"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8224,"Paraplegia, unspecified, complete, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8232,"Flaccid tetraplegia, unspecified, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8246,"Spastic tetraplegia, incomplete, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8222,"Paraplegia, unspecified, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8220,"Paraplegia, unspecified, unspecified"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8252,"Tetraplegia, unspecified, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8216,"Spastic paraplegia, incomplete, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8214,"Spastic paraplegia, complete, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8210,"Spastic paraplegia, unspecified"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8206,"Flaccid paraplegia, incomplete, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8212,"Spastic paraplegia, unspecified chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8204,"Flaccid paraplegia, complete, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G831,Monoplegia of lower limb
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8202,"Flaccid paraplegia, unspecified, chronic"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G8200,"Flaccid paraplegia, unspecified"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G819,"Hemiplegia, unspecified"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G811,Spastic hemiplegia
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G810,Flaccid hemiplegia
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G833,"Monoplegia, unspecified"
11,U805,"Tetraplegia, paraplegia, diplegia, monoplegia and hemiplegia, due to any cause",G832,Monoplegia of upper limb
12,U821,Ischaemic heart disease,I259,"Chronic ischaemic heart disease, unspecified (Disease/heart/ischaemic)"
12,U821,Ischaemic heart disease,I2513,"Atherosclerotic heart disease, of nonautologous bypass graft"
12,U821,Ischaemic heart disease,I2512,"Atherosclerotic heart disease, of autologous bypass graft"
12,U821,Ischaemic heart disease,I2511,"Atherosclerotic heart disease, of native coronary artery"
12,U821,Ischaemic heart disease,I2510,"Atherosclerotic heart disease, of unspecified vessel"
13,U822,Chronic heart failure,I509,"Heart failure, unspecified"
13,U822,Chronic heart failure,I500,Congestive heart failure
14,U823,Hypertension,I10,Essential (primary) hypertension
15,U831,"Emphysema, without mention of chronic obstructive pulmonary disease",J439,"Emphysema, unspecified"
16,U832,Chronic obstructive pulmonary disease,J449,"Chronic obstructive pulmonary disease, unspecified"
17,U833,"Asthma, without mention of chronic obstructive pulmonary disease",J459,"Asthma, unspecified"
17,U833,"Asthma, without mention of chronic obstructive pulmonary disease",J458,Mixed asthma
17,U833,"Asthma, without mention of chronic obstructive pulmonary disease",J451,Nonallergic asthma
17,U833,"Asthma, without mention of chronic obstructive pulmonary disease",J450,Predominantly allergic asthma
18,U834,"Bronchiectasis, without mention of cystic fibrosis",J47,Bronchiectasis
19,U835,Chronic respiratory failure,J9619,"Chronic respiratory failure, type unspecified"
19,U835,Chronic respiratory failure,J9611,"Chronic respiratory failure, type II"
19,U835,Chronic respiratory failure,J9610,"Chronic respiratory failure, type I"
20,U841,Crohn's disease,K509,"Crohn's disease, unspecified"
20,U841,Crohn's disease,K508,Other Crohn's disease
20,U841,Crohn's disease,K501,Crohn's disease of large intestine
20,U841,Crohn's disease,K500,Crohn's disease of small intestine
21,U842,Ulcerative colitis,K519,"Ulcerative colitis, unspecified"
21,U842,Ulcerative colitis,K518,Other ulcerative colitis
21,U842,Ulcerative colitis,K513,Ulcerative (chronic) rectosigmoiditis
21,U842,Ulcerative colitis,K512,Ulcerative (chronic) proctitis
21,U842,Ulcerative colitis,K510,Ulcerative (chronic) pancolitis
22,U843,Chronic liver failure,K721,Chronic hepatic failure
23,U861,Rheumatoid arthritis,M0698,"Rheumatoid arthritis, unspecified, other site"
23,U861,Rheumatoid arthritis,M0697,"Rheumatoid arthritis, unspecified, ankle and foot"
23,U861,Rheumatoid arthritis,M0696,"Rheumatoid arthritis, unspecified, lower leg"
23,U861,Rheumatoid arthritis,M0699,"Rheumatoid arthritis, unspecified, site unspecified"
23,U861,Rheumatoid arthritis,M0695,"Rheumatoid arthritis, unspecified, pelvic region and thigh"
23,U861,Rheumatoid arthritis,M0694,"Rheumatoid arthritis, unspecified, hand"
23,U861,Rheumatoid arthritis,M0693,"Rheumatoid arthritis, unspecified, forearm"
23,U861,Rheumatoid arthritis,M0692,"Rheumatoid arthritis, unspecified, upper arm"
23,U861,Rheumatoid arthritis,M0691,"Rheumatoid arthritis, unspecified, shoulder region"
23,U861,Rheumatoid arthritis,M0690,"Rheumatoid arthritis, unspecified, multiple sites"
24,U862,Arthritis and osteoarthritis,M4799,"Unspecified spondylosis, site unspecified"
24,U862,Arthritis and osteoarthritis,M4798,"Unspecified spondylosis, sacral and sacrococcygeal region"
24,U862,Arthritis and osteoarthritis,M4796,"Unspecified spondylosis, lumbar region"
24,U862,Arthritis and osteoarthritis,M4795,"Unspecified spondylosis, thoracolumbar region"
24,U862,Arthritis and osteoarthritis,M4794,"Unspecified spondylosis, thoracic region"
24,U862,Arthritis and osteoarthritis,M4793,"Unspecified spondylosis, cervicothoracic region"
24,U862,Arthritis and osteoarthritis,M4792,"Unspecified spondylosis, cervical region"
24,U862,Arthritis and osteoarthritis,M4791,"Unspecified spondylosis, occipito-atlanto-axial region"
24,U862,Arthritis and osteoarthritis,M4790,"Unspecified spondylosis, multiple sites in spine"
24,U862,Arthritis and osteoarthritis,M1908,"Primary arthrosis of other joints, other site"
24,U862,Arthritis and osteoarthritis,M1907,"Primary arthrosis of other joints, ankle and foot"
24,U862,Arthritis and osteoarthritis,M1904,"Primary arthrosis of other joints, hand"
24,U862,Arthritis and osteoarthritis,M1903,"Primary arthrosis of other joints, forearm"
24,U862,Arthritis and osteoarthritis,M1902,"Primary arthrosis of other joints, upper arm"
24,U862,Arthritis and osteoarthritis,M1901,"Primary arthrosis of other joints, shoulder region"
24,U862,Arthritis and osteoarthritis,M181,Other primary arthrosis of first carpometacarpal joint
24,U862,Arthritis and osteoarthritis,M1909,"Primary arthrosis of other joints, site unspecified"
24,U862,Arthritis and osteoarthritis,M180,"Primary arthrosis of first carpometacarpal joints, bilateral"
24,U862,Arthritis and osteoarthritis,M171,Other primary gonarthrosis
24,U862,Arthritis and osteoarthritis,M170,"Primary gonarthrosis, bilateral"
24,U862,Arthritis and osteoarthritis,M161,Other primary coxarthrosis
24,U862,Arthritis and osteoarthritis,M160,"Primary coxarthrosis, bilateral"
24,U862,Arthritis and osteoarthritis,M150,Primary generalised (osteo)arthrosis
24,U862,Arthritis and osteoarthritis,M1399,"Arthritis, unspecified, site unspecified"
24,U862,Arthritis and osteoarthritis,M1398,"Arthritis, unspecified, other site"
24,U862,Arthritis and osteoarthritis,M4797,"Unspecified spondylosis, lumbosacral region"
24,U862,Arthritis and osteoarthritis,M1397,"Arthritis, unspecified, ankle and foot"
24,U862,Arthritis and osteoarthritis,M1396,"Arthritis, unspecified, lower leg"
24,U862,Arthritis and osteoarthritis,M1395,"Arthritis, unspecified, pelvic region and thigh"
24,U862,Arthritis and osteoarthritis,M1394,"Arthritis, unspecified, hand"
24,U862,Arthritis and osteoarthritis,M1393,"Arthritis, unspecified, forearm"
24,U862,Arthritis and osteoarthritis,M1392,"Arthritis, unspecified, upper arm"
24,U862,Arthritis and osteoarthritis,M1391,"Arthritis, unspecified, shoulder region"
24,U862,Arthritis and osteoarthritis,M1390,"Arthritis, unspecified, multiple sites"
25,U863,Systemic lupus erythematosus,M329,"Systemic lupus erythematosus, unspecified"
25,U863,Systemic lupus erythematosus,M328,Other forms of systemic lupus erythematosus
25,U863,Systemic lupus erythematosus,M321,Systemic lupus erythematosus with organ or system involvement
25,U863,Systemic lupus erythematosus,M320,Drug-induced systemic lupus erythematosus
26,U864,Osteoporosis,M8198,"Unspecified osteoporosis, other site"
26,U864,Osteoporosis,M8197,"Unspecified osteoporosis, ankle and foot"
26,U864,Osteoporosis,M8196,"Unspecified osteoporosis, lower leg"
26,U864,Osteoporosis,M8199,"Unspecified osteoporosis, site unspecified"
26,U864,Osteoporosis,M8195,"Unspecified osteoporosis, pelvic region and thigh"
26,U864,Osteoporosis,M8194,"Unspecified osteoporosis, hand"
26,U864,Osteoporosis,M8193,"Unspecified osteoporosis, forearm"
26,U864,Osteoporosis,M8192,"Unspecified osteoporosis, upper arm"
26,U864,Osteoporosis,M8191,"Unspecified osteoporosis, shoulder region"
26,U864,Osteoporosis,M8190,"Unspecified osteoporosis, multiple sites"
27,U871,"Chronic kidney disease, stage 3 to 5",N185,"Chronic kidney disease, stage 5"
27,U871,"Chronic kidney disease, stage 3 to 5",N184,"Chronic kidney disease, stage 4"
27,U871,"Chronic kidney disease, stage 3 to 5",N183,"Chronic kidney disease, stage 3"
28,U881,Spina bifida,Q0592,"Spina bifida, unspecified, closed, cystica, covered with skin or membrane"
28,U881,Spina bifida,Q0590,"Spina bifida, unspecified, unspecified whether lesion is open or closed"
28,U881,Spina bifida,Q0582,"Sacral spina bifida without hydrocephalus, closed, cystica, covered with skin or membrane"
28,U881,Spina bifida,Q0581,"Sacral spina bifida without hydrocephalus, open, aperta, not covered with skin or membrane"
28,U881,Spina bifida,Q0580,"Sacral spina bifida without hydrocephalus, unspecified whether lesion is open or closed"
28,U881,Spina bifida,Q0572,"Lumbar spina bifida without hydrocephalus, closed, cystica, covered with skin or membrane"
28,U881,Spina bifida,Q0571,"Lumbar spina bifida without hydrocephalus, open, aperta, not covered with skin or membrane"
28,U881,Spina bifida,Q0570,"Lumbar spina bifida without hydrocephalus, unspecified whether lesion is open or closed"
28,U881,Spina bifida,Q0561,"Thoracic spina bifida without hydrocephalus, open, aperta, not covered with skin or membrane"
28,U881,Spina bifida,Q0560,"Thoracic spina bifida without hydrocephalus, unspecified whether lesion is open or closed"
28,U881,Spina bifida,Q0552,"Cervical spina bifida without hydrocephalus, closed, cystica, covered with skin or membrane"
28,U881,Spina bifida,Q0551,"Cervical spina bifida without hydrocephalus, open, aperta, not covered with skin or membrane"
28,U881,Spina bifida,Q0550,"Cervical spina bifida without hydrocephalus, unspecified whether lesion is open or closed"
28,U881,Spina bifida,Q0542,"Unspecified spina bifida with hydrocephalus, closed, cystica, covered with skin or membrane"
28,U881,Spina bifida,Q0541,"Unspecified spina bifida with hydrocephalus, open, aperta, not covered with skin or membrane"
28,U881,Spina bifida,Q0562,"Thoracic spina bifida without hydrocephalus, closed, cystica, covered with skin or membrane"
28,U881,Spina bifida,Q0540,"Unspecified spina bifida with hydrocephalus, unspecified whether lesion is open or closed"
28,U881,Spina bifida,Q0532,"Sacral spina bifida with hydrocephalus, closed, cystica, covered with skin or membrane"
28,U881,Spina bifida,Q0531,"Sacral spina bifida with hydrocephalus, open, aperta, not covered with skin or membrane"
28,U881,Spina bifida,Q0530,"Sacral spina bifida with hydrocephalus, unspecified whether lesion is open or closed"
28,U881,Spina bifida,Q0522,"Lumbar spina bifida with hydrocephalus, closed, cystica, covered with skin or membrane"
28,U881,Spina bifida,Q0521,"Lumbar spina bifida with hydrocephalus, open, aperta, not covered with skin or membrane"
28,U881,Spina bifida,Q0520,"Lumbar spina bifida with hydrocephalus, unspecified whether lesion is open or closed"
28,U881,Spina bifida,Q0512,"Thoracic spina bifida with hydrocephalus, closed, cystica, covered with skin or membrane"
28,U881,Spina bifida,Q0591,"Spina bifida, unspecified, open, aperta, not covered with skin or membrane"
28,U881,Spina bifida,Q0511,"Thoracic spina bifida with hydrocephalus, open, aperta, not covered with skin or membrane"
28,U881,Spina bifida,Q0510,"Thoracic spina bifida with hydrocephalus, unspecified whether lesion is open or closed"
28,U881,Spina bifida,Q0502,"Cervical spina bifida with hydrocephalus, closed, cystica, covered with skin or membrane"
28,U881,Spina bifida,Q0501,"Cervical spina bifida with hydrocephalus, open, aperta, not covered with skin or membrane"
28,U881,Spina bifida,Q0500,"Cervical spina bifida with hydrocephalus, unspecified whether lesion is open or closed"
29,U882,Down's syndrome,Q909,"Down's syndrome, unspecified"
29,U882,Down's syndrome,Q902,"Trisomy 21, translocation"
29,U882,Down's syndrome,Q901,"Trisomy 21, mosaicism"
29,U882,Down's syndrome,Q900,"Trisomy 21, meiotic nondisjunction"
